title   | cambodia two-parti opposit ask asian develop bank monday stop provid loan incumb govern call illeg
sent_107 | hun sen reject opposit reserv say would inappropri hold summit outsid countri
sent_108 | negoti far prove fruitless except open parliament sept
sent_109 | 22 summit led king
sent_110 | hun sen impli thursday opposit fail follow promis made summit
sent_111 | result strictli respect seem reason hold anoth summit hun sen said speech anniversari 1991 pari peac accord
sent_112 | sihanouk reportedli set fli beij next month receiv medic treatment chines doctor
sent_113 | 75-year-old monarch suffer varieti ailment period make extend trip beij
sent_114 | diagnos colon cancer 1993 sinc gone remiss
sent_115 | septemb thousand peopl fill street phnom penh protest alleg elect fraud
sent_116 | hun sen order polic break demonstr
sent_117 | least four demonstr kill polic discoveri 20 bodi aftermath prompt specul death talli could much higher
sent_118 | speech hun sen blame violenc opposit leader say demonstr instig social econom chao
sent_119 | cambodian politician express hope monday new partnership parti strongman hun sen rival princ norodom ranariddh coalit govern would end violenc
sent_120 | hun sen ranariddh co-prim minist coalit form 1993 landmark u n sponsor elect often clash power-shar integr guerrilla fighter crumbl khmer roug
sent_121 | argument turn bloodi last year hun sen oust ranariddh coup
sent_122 | princ fled cambodia return month elect juli
sent_123 | hun sen cambodian peopl parti narrowli poll strong second-plac finish ranariddh funcinpec gave royalist parti leverag post-elect negoti
sent_124 | three-month impass agre last week coalit deal make hun sen sole prime minist ranariddh presid nation assembl
sent_125 | repetit 1993 two prime minist said hun sen aid prak sokhon attend last week summit
sent_126 | two prime minist everyth move slowli decis made polit technic
sent_127 | ranariddh said saturday two parti agre keep ministri interior defens co-minist
sent_128 | senior funcinpec offici ahmad yahya reveal monday also agre cpp would control foreign affair financ portfolio
sent_129 | funcinpec take justic inform
sent_130 | parti form work group week divid remain govern post draft constitut amend form new senat
sent_131 | hun sen ranariddh schedul meet nov
sent_132 | 23   two day parliament reopen   review result work group give final approv ahmad yahya said
sent_133 | abil repair relationship work togeth key stabl coalit
sent_134 | consid remarriag ahmad yahya said
sent_135 | care way work say
sent_136 | compromis achiev result
sent_137 | ranariddh alli sam rainsi whose parti place distant third elect left last week deal
sent_138 | sam rainsi virul critic hun sen parti 14 member parliament remain outsid cambodia sinc septemb amid fear secur
sent_139 | letter king norodom sihanouk releas monday sam rainsi complain hun sen respond queri secur make unsaf peopl return reconven parliament
sent_140 | sam rainsi said told ranariddh parti former khmer roug guerrilla implic hun sen rocket attack sept
sent_141 | 24 open parliament
sent_142 | author call assassin attempt hun sen
sent_143 | polic gener investig attack said monday like suspect identifi would reveal name polit affili
sent_144 | worri parti colleagu still face arrest polit opposit leader sam rainsi sought clarif friday secur guarante promis strongman hun sen
sent_145 | sam rainsi wrote letter king norodom sihanouk eager attend first session new nation assembl nov
sent_146 | 25 complain hun sen assur strong enough eas concern parti member may arrest upon return cambodia
sent_147 | hun sen announc govern guarante wednesday politician safeti right conduct polit activ accord law forc
sent_148 | sam rainsi earlier call hun sen statement full loophol ask sihanouk help obtain promis hun sen member sam rainsi parti free prosecut polit activ last juli elect
sent_149 | sam rainsi staunch critic hun sen forc take refug u n offic septemb avoid arrest hun sen accus behind plot life
sent_150 | alleg assassin attempt came massiv street demonstr organ opposit hun sen cambodian peopl parti narrowli elect
sent_151 | opposit alleg widespread fraud intimid refus accept result poll
sent_152 | fear safeti sam rainsi then-al princ norodom ranariddh led exodu opposit lawmak cambodia parliament ceremoni open late septemb
sent_153 | ranariddh whose funcinpec parti finish close second elect return last week struck deal hun sen form coalit govern
sent_154 | agreement make hun sen prime minist ranariddh presid nation assembl
sent_155 | two parti form three work group hammer detail agreement includ establish senat upper hous parliament
sent_156 | sok repres hun sen parti said friday one work group complet work joint polit platform implement new govern
sent_157 | platform said emphas administr econom judici reform sok would reveal detail say hun sen would announc present cabinet choic nation assembl
sent_158 | cambodian leader hun sen friday reject opposit parti demand talk outsid countri accus tri internation polit crisi
sent_159 | govern opposit parti ask king norodom sihanouk host summit meet seri post-elect negoti two opposit group hun sen parti form new govern fail
sent_160 | opposit leader princ norodom ranariddh sam rainsi cite hun sen threat arrest opposit figur two alleg attempt life said could negoti freeli cambodia call talk sihanouk resid beij
sent_161 | hun sen howev reject
sent_162 | would like make clear meet relat cambodian affair must conduct kingdom cambodia hun sen told report cabinet meet friday
sent_163 | no-on internation cambodian affair
sent_164 | detriment sovereignti cambodia said
sent_165 | hun sen cambodian peopl parti 64 122 parliamentari seat juli elect short two-third major need form govern
sent_166 | ranariddh sam rainsi charg hun sen victori elect achiev widespread fraud
sent_167 | demand thorough investig elect complaint precondit cooper get nation assembl move new govern form
sent_168 | hun sen said friday opposit concern safeti countri excus stay abroad
sent_169 | ranariddh sam rainsi outsid countri sinc parliament ceremoni open sep 24
sent_170 | sam rainsi number opposit figur court investig grenad attack hun sen phnom penh resid sep 7
sent_171 | hun sen home time attack follow polic crackdown demonstr contest hun sen elect victori
sent_172 | sam rainsi parti statement releas friday accus hun sen unwil make compromis negoti break deadlock
sent_173 | meet outsid cambodia suggest opposit could place parti equal foot said statement
sent_174 | rule parti refus negoti unless abl threaten negoti partner arrest wors
sent_175 | cambodia rule parti respond tuesday critic leader u congress lengthi defens strongman hun sen human right record
sent_176 | cambodian peopl parti critic non-bind resolut pass earlier month u hous repres call investig violat intern humanitarian law allegedli commit hun sen
sent_177 | event mention resolut includ hun sen coup last year co-prim minist princ norodom ranariddh violent crackdown septemb anti-govern demonstr
sent_178 | copi resolut sinc submit u senat committe foreign relat
sent_179 | cpp would like launch appeal u senat wise realist consid draft resolut give justic cpp hun sen cambodian peopl approv parti said statement
sent_180 | defend hun sen ouster ranariddh proper respons princ attempt time negoti defect senior khmer roug rebel
sent_181 | also repeat claim princ parti move rebel soldier phnom penh content remain unprov
sent_182 | kill nearli 100 ranariddh support document u n human right worker aftermath coup dismiss cpp mostli fabric meant distort polit situat
sent_183 | ranariddh core support return cambodia month elect juli year rule parti narrowli
sent_184 | ranariddh opposit alli sam rainsi refus accept elect result alleg widespread intimid fraud cpp
sent_185 | claim dismiss hun sen-friendli court ralli support street phnom penh
sent_186 | two week toler demonstr hun sen order violent crackdown result death least four protest u n human right worker later discov 20 bodi   mani bear sign tortur   around capit prompt specul death toll could much higher
sent_187 | rule parti support polic action statement note public properti damag protest grenad thrown hun sen home sam rainsi suggest speech u govern fire cruis missil hun sen
sent_188 | opposit claim grenad attack stage excus begin crackdown
sent_189 | leader illeg demonstr one must bear respons consequ deriv protest cpp said tuesday refer deadli violenc minor incid
sent_190 | rule parti also remind unit state washington support cambodian exil govern domin brutal khmer roug 1980
sent_191 | khmer roug respons death mani 2 million peopl guerrilla group 1975 79 rule cambodia
sent_192 | seri border clash khmer roug oust power invad vietnames armi set surrog cambodian communist govern later led hun sen
sent_193 | rule parti accus u policy-mak take time action save cambodian peopl khmer roug
sent_194 | must make unjust accus led struggl liber peopl genocid ad
